"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试用户通过 ptlogin 接口登录功能","1294","测试 ptlogin 登录接口","testcases","Thu Mar 12 16:57:22 UTC 2026","failed","Thu Mar 12 16:57:23 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","726","测试 ptlogin 登录接口 - 参数化测试","testcases","Thu Mar 12 16:57:23 UTC 2026","failed","Thu Mar 12 16:57:24 UTC 2026","TestPtlogin","test_ptlogin","",""
"","218","获取拼字房间列表-默认筛选","testcases","Thu Mar 12 16:57:26 UTC 2026","broken","Thu Mar 12 16:57:26 UTC 2026","TestWriter","test_writer_ai","",""
"","226","test_get_word_list_flow","testcases","Thu Mar 12 16:57:25 UTC 2026","broken","Thu Mar 12 16:57:26 UTC 2026","TestWriter","test_writer_ai","",""
"","221","获取拼字房间列表-空数据页","testcases","Thu Mar 12 16:57:26 UTC 2026","broken","Thu Mar 12 16:57:26 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","764","测试 ptlogin 登录接口 - 自定义参数","testcases","Thu Mar 12 16:57:24 UTC 2026","failed","Thu Mar 12 16:57:25 UTC 2026","TestPtlogin","test_ptlogin","",""
