"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","223","获取拼字房间列表-默认筛选","testcases","Sat Apr 18 16:38:06 UTC 2026","broken","Sat Apr 18 16:38:06 UTC 2026","TestWriter","test_writer_ai","",""
"","224","获取拼字房间列表-空数据页","testcases","Sat Apr 18 16:38:06 UTC 2026","broken","Sat Apr 18 16:38:07 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","633","测试 ptlogin 登录接口","testcases","Sat Apr 18 16:38:02 UTC 2026","failed","Sat Apr 18 16:38:03 UTC 2026","TestPtlogin","test_ptlogin","",""
"","223","test_get_word_list_flow","testcases","Sat Apr 18 16:38:06 UTC 2026","broken","Sat Apr 18 16:38:06 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","693","测试 ptlogin 登录接口 - 自定义参数","testcases","Sat Apr 18 16:38:04 UTC 2026","failed","Sat Apr 18 16:38:05 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","957","测试 ptlogin 登录接口 - 参数化测试","testcases","Sat Apr 18 16:38:03 UTC 2026","failed","Sat Apr 18 16:38:04 UTC 2026","TestPtlogin","test_ptlogin","",""
