"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试用户通过 ptlogin 接口登录功能","849","测试 ptlogin 登录接口","testcases","Tue Apr 14 17:04:07 UTC 2026","failed","Tue Apr 14 17:04:08 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试使用自定义参数的登录功能","920","测试 ptlogin 登录接口 - 自定义参数","testcases","Tue Apr 14 17:04:09 UTC 2026","failed","Tue Apr 14 17:04:10 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","880","测试 ptlogin 登录接口 - 参数化测试","testcases","Tue Apr 14 17:04:08 UTC 2026","failed","Tue Apr 14 17:04:09 UTC 2026","TestPtlogin","test_ptlogin","",""
"","276","获取拼字房间列表-默认筛选","testcases","Tue Apr 14 17:04:11 UTC 2026","broken","Tue Apr 14 17:04:12 UTC 2026","TestWriter","test_writer_ai","",""
"","268","获取拼字房间列表-空数据页","testcases","Tue Apr 14 17:04:12 UTC 2026","broken","Tue Apr 14 17:04:12 UTC 2026","TestWriter","test_writer_ai","",""
"","268","test_get_word_list_flow","testcases","Tue Apr 14 17:04:11 UTC 2026","broken","Tue Apr 14 17:04:11 UTC 2026","TestWriter","test_writer_ai","",""
