"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"使用不同的用户名和密码测试登录功能","529","测试 ptlogin 登录接口 - 参数化测试","testcases","2026-06-28","failed","2026-06-28","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","589","测试 ptlogin 登录接口","testcases","2026-06-28","failed","2026-06-28","TestPtlogin","test_ptlogin","",""
"测试使用自定义参数的登录功能","729","测试 ptlogin 登录接口 - 自定义参数","testcases","2026-06-28","failed","2026-06-28","TestPtlogin","test_ptlogin","",""
"","168","获取拼字房间列表-空数据页","testcases","2026-06-28","broken","2026-06-28","TestWriter","test_writer_ai","",""
"","159","test_get_word_list_flow","testcases","2026-06-28","broken","2026-06-28","TestWriter","test_writer_ai","",""
"","160","获取拼字房间列表-默认筛选","testcases","2026-06-28","broken","2026-06-28","TestWriter","test_writer_ai","",""
