"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","245","获取拼字房间列表-默认筛选","testcases","Fri May 08 17:14:31 UTC 2026","broken","Fri May 08 17:14:32 UTC 2026","TestWriter","test_writer_ai","",""
"","244","获取拼字房间列表-空数据页","testcases","Fri May 08 17:14:32 UTC 2026","broken","Fri May 08 17:14:32 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","852","测试 ptlogin 登录接口 - 自定义参数","testcases","Fri May 08 17:14:29 UTC 2026","failed","Fri May 08 17:14:30 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","3594","测试 ptlogin 登录接口","testcases","Fri May 08 17:14:23 UTC 2026","failed","Fri May 08 17:14:27 UTC 2026","TestPtlogin","test_ptlogin","",""
"","245","test_get_word_list_flow","testcases","Fri May 08 17:14:31 UTC 2026","broken","Fri May 08 17:14:31 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","2207","测试 ptlogin 登录接口 - 参数化测试","testcases","Fri May 08 17:14:27 UTC 2026","failed","Fri May 08 17:14:29 UTC 2026","TestPtlogin","test_ptlogin","",""
