"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试用户通过 ptlogin 接口登录功能","563","测试 ptlogin 登录接口","testcases","Wed May 06 17:28:05 UTC 2026","failed","Wed May 06 17:28:05 UTC 2026","TestPtlogin","test_ptlogin","",""
"","153","获取拼字房间列表-空数据页","testcases","Wed May 06 17:28:08 UTC 2026","broken","Wed May 06 17:28:08 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","528","测试 ptlogin 登录接口 - 参数化测试","testcases","Wed May 06 17:28:05 UTC 2026","failed","Wed May 06 17:28:06 UTC 2026","TestPtlogin","test_ptlogin","",""
"","161","test_get_word_list_flow","testcases","Wed May 06 17:28:08 UTC 2026","broken","Wed May 06 17:28:08 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","948","测试 ptlogin 登录接口 - 自定义参数","testcases","Wed May 06 17:28:06 UTC 2026","failed","Wed May 06 17:28:07 UTC 2026","TestPtlogin","test_ptlogin","",""
"","158","获取拼字房间列表-默认筛选","testcases","Wed May 06 17:28:08 UTC 2026","broken","Wed May 06 17:28:08 UTC 2026","TestWriter","test_writer_ai","",""
