"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试使用自定义参数的登录功能","766","测试 ptlogin 登录接口 - 自定义参数","testcases","Sat May 09 16:53:03 UTC 2026","failed","Sat May 09 16:53:04 UTC 2026","TestPtlogin","test_ptlogin","",""
"","209","获取拼字房间列表-空数据页","testcases","Sat May 09 16:53:07 UTC 2026","broken","Sat May 09 16:53:07 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","2057","测试 ptlogin 登录接口","testcases","Sat May 09 16:53:00 UTC 2026","failed","Sat May 09 16:53:02 UTC 2026","TestPtlogin","test_ptlogin","",""
"","813","获取拼字房间列表-默认筛选","testcases","Sat May 09 16:53:06 UTC 2026","broken","Sat May 09 16:53:07 UTC 2026","TestWriter","test_writer_ai","",""
"","208","test_get_word_list_flow","testcases","Sat May 09 16:53:06 UTC 2026","broken","Sat May 09 16:53:06 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","900","测试 ptlogin 登录接口 - 参数化测试","testcases","Sat May 09 16:53:02 UTC 2026","failed","Sat May 09 16:53:03 UTC 2026","TestPtlogin","test_ptlogin","",""
