"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","258","test_get_word_list_flow","testcases","Sat May 23 16:57:21 UTC 2026","broken","Sat May 23 16:57:21 UTC 2026","TestWriter","test_writer_ai","",""
"","928","获取拼字房间列表-默认筛选","testcases","Sat May 23 16:57:21 UTC 2026","broken","Sat May 23 16:57:22 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","4250","测试 ptlogin 登录接口","testcases","Sat May 23 16:57:13 UTC 2026","failed","Sat May 23 16:57:17 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","1931","测试 ptlogin 登录接口 - 参数化测试","testcases","Sat May 23 16:57:17 UTC 2026","failed","Sat May 23 16:57:19 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试使用自定义参数的登录功能","1145","测试 ptlogin 登录接口 - 自定义参数","testcases","Sat May 23 16:57:19 UTC 2026","failed","Sat May 23 16:57:20 UTC 2026","TestPtlogin","test_ptlogin","",""
"","258","获取拼字房间列表-空数据页","testcases","Sat May 23 16:57:22 UTC 2026","broken","Sat May 23 16:57:23 UTC 2026","TestWriter","test_writer_ai","",""
