"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"使用不同的用户名和密码测试登录功能","846","测试 ptlogin 登录接口 - 参数化测试","testcases","Mon May 11 17:53:31 UTC 2026","failed","Mon May 11 17:53:32 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","737","测试 ptlogin 登录接口","testcases","Mon May 11 17:53:31 UTC 2026","failed","Mon May 11 17:53:31 UTC 2026","TestPtlogin","test_ptlogin","",""
"","221","获取拼字房间列表-空数据页","testcases","Mon May 11 17:53:34 UTC 2026","broken","Mon May 11 17:53:35 UTC 2026","TestWriter","test_writer_ai","",""
"","221","test_get_word_list_flow","testcases","Mon May 11 17:53:34 UTC 2026","broken","Mon May 11 17:53:34 UTC 2026","TestWriter","test_writer_ai","",""
"","221","获取拼字房间列表-默认筛选","testcases","Mon May 11 17:53:34 UTC 2026","broken","Mon May 11 17:53:34 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","743","测试 ptlogin 登录接口 - 自定义参数","testcases","Mon May 11 17:53:32 UTC 2026","failed","Mon May 11 17:53:33 UTC 2026","TestPtlogin","test_ptlogin","",""
