"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"使用不同的用户名和密码测试登录功能","855","测试 ptlogin 登录接口 - 参数化测试","testcases","Thu May 14 17:47:52 UTC 2026","failed","Thu May 14 17:47:53 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","924","测试 ptlogin 登录接口","testcases","Thu May 14 17:47:51 UTC 2026","failed","Thu May 14 17:47:52 UTC 2026","TestPtlogin","test_ptlogin","",""
"","249","test_get_word_list_flow","testcases","Thu May 14 17:47:55 UTC 2026","broken","Thu May 14 17:47:56 UTC 2026","TestWriter","test_writer_ai","",""
"","249","获取拼字房间列表-空数据页","testcases","Thu May 14 17:47:56 UTC 2026","broken","Thu May 14 17:47:56 UTC 2026","TestWriter","test_writer_ai","",""
"","249","获取拼字房间列表-默认筛选","testcases","Thu May 14 17:47:56 UTC 2026","broken","Thu May 14 17:47:56 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","761","测试 ptlogin 登录接口 - 自定义参数","testcases","Thu May 14 17:47:53 UTC 2026","failed","Thu May 14 17:47:54 UTC 2026","TestPtlogin","test_ptlogin","",""
