"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","243","获取拼字房间列表-默认筛选","testcases","Fri Feb 06 16:42:25 UTC 2026","broken","Fri Feb 06 16:42:26 UTC 2026","TestWriter","test_writer_ai","",""
"","251","test_get_word_list_flow","testcases","Fri Feb 06 16:42:25 UTC 2026","broken","Fri Feb 06 16:42:25 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","1343","测试 ptlogin 登录接口","testcases","Fri Feb 06 16:42:16 UTC 2026","failed","Fri Feb 06 16:42:17 UTC 2026","TestPtlogin","test_ptlogin","",""
"","242","获取拼字房间列表-空数据页","testcases","Fri Feb 06 16:42:26 UTC 2026","broken","Fri Feb 06 16:42:26 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","2474","测试 ptlogin 登录接口 - 参数化测试","testcases","Fri Feb 06 16:42:17 UTC 2026","failed","Fri Feb 06 16:42:20 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试使用自定义参数的登录功能","1533","测试 ptlogin 登录接口 - 自定义参数","testcases","Fri Feb 06 16:42:20 UTC 2026","failed","Fri Feb 06 16:42:21 UTC 2026","TestPtlogin","test_ptlogin","",""
