"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","213","获取拼字房间列表-空数据页","testcases","Tue Mar 10 16:54:50 UTC 2026","broken","Tue Mar 10 16:54:51 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","747","测试 ptlogin 登录接口","testcases","Tue Mar 10 16:54:47 UTC 2026","failed","Tue Mar 10 16:54:47 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","675","测试 ptlogin 登录接口 - 参数化测试","testcases","Tue Mar 10 16:54:47 UTC 2026","failed","Tue Mar 10 16:54:48 UTC 2026","TestPtlogin","test_ptlogin","",""
"","213","test_get_word_list_flow","testcases","Tue Mar 10 16:54:50 UTC 2026","broken","Tue Mar 10 16:54:50 UTC 2026","TestWriter","test_writer_ai","",""
"","214","获取拼字房间列表-默认筛选","testcases","Tue Mar 10 16:54:50 UTC 2026","broken","Tue Mar 10 16:54:50 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","691","测试 ptlogin 登录接口 - 自定义参数","testcases","Tue Mar 10 16:54:48 UTC 2026","failed","Tue Mar 10 16:54:49 UTC 2026","TestPtlogin","test_ptlogin","",""
