"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"使用不同的用户名和密码测试登录功能","937","测试 ptlogin 登录接口 - 参数化测试","testcases","Wed Mar 18 16:58:01 UTC 2026","failed","Wed Mar 18 16:58:02 UTC 2026","TestPtlogin","test_ptlogin","",""
"","280","获取拼字房间列表-默认筛选","testcases","Wed Mar 18 16:58:04 UTC 2026","broken","Wed Mar 18 16:58:05 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","866","测试 ptlogin 登录接口 - 自定义参数","testcases","Wed Mar 18 16:58:02 UTC 2026","failed","Wed Mar 18 16:58:03 UTC 2026","TestPtlogin","test_ptlogin","",""
"","274","test_get_word_list_flow","testcases","Wed Mar 18 16:58:04 UTC 2026","broken","Wed Mar 18 16:58:04 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","924","测试 ptlogin 登录接口","testcases","Wed Mar 18 16:58:00 UTC 2026","failed","Wed Mar 18 16:58:01 UTC 2026","TestPtlogin","test_ptlogin","",""
"","275","获取拼字房间列表-空数据页","testcases","Wed Mar 18 16:58:05 UTC 2026","broken","Wed Mar 18 16:58:05 UTC 2026","TestWriter","test_writer_ai","",""
