"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试用户通过 ptlogin 接口登录功能","6233","测试 ptlogin 登录接口","testcases","Wed Feb 25 17:06:23 UTC 2026","failed","Wed Feb 25 17:06:29 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","1537","测试 ptlogin 登录接口 - 参数化测试","testcases","Wed Feb 25 17:06:29 UTC 2026","failed","Wed Feb 25 17:06:31 UTC 2026","TestPtlogin","test_ptlogin","",""
"","279","获取拼字房间列表-默认筛选","testcases","Wed Feb 25 17:06:35 UTC 2026","broken","Wed Feb 25 17:06:35 UTC 2026","TestWriter","test_writer_ai","",""
"","962","获取拼字房间列表-空数据页","testcases","Wed Feb 25 17:06:36 UTC 2026","broken","Wed Feb 25 17:06:36 UTC 2026","TestWriter","test_writer_ai","",""
"","279","test_get_word_list_flow","testcases","Wed Feb 25 17:06:35 UTC 2026","broken","Wed Feb 25 17:06:35 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","2030","测试 ptlogin 登录接口 - 自定义参数","testcases","Wed Feb 25 17:06:31 UTC 2026","failed","Wed Feb 25 17:06:33 UTC 2026","TestPtlogin","test_ptlogin","",""
