"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","166","获取拼字房间列表-空数据页","testcases","Fri Apr 10 16:49:50 UTC 2026","broken","Fri Apr 10 16:49:50 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","528","测试 ptlogin 登录接口 - 自定义参数","testcases","Fri Apr 10 16:49:48 UTC 2026","failed","Fri Apr 10 16:49:49 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","631","测试 ptlogin 登录接口 - 参数化测试","testcases","Fri Apr 10 16:49:48 UTC 2026","failed","Fri Apr 10 16:49:48 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","703","测试 ptlogin 登录接口","testcases","Fri Apr 10 16:49:47 UTC 2026","failed","Fri Apr 10 16:49:48 UTC 2026","TestPtlogin","test_ptlogin","",""
"","166","test_get_word_list_flow","testcases","Fri Apr 10 16:49:50 UTC 2026","broken","Fri Apr 10 16:49:50 UTC 2026","TestWriter","test_writer_ai","",""
"","166","获取拼字房间列表-默认筛选","testcases","Fri Apr 10 16:49:50 UTC 2026","broken","Fri Apr 10 16:49:50 UTC 2026","TestWriter","test_writer_ai","",""
