"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试使用自定义参数的登录功能","982","测试 ptlogin 登录接口 - 自定义参数","testcases","Sat Feb 07 16:28:11 UTC 2026","failed","Sat Feb 07 16:28:12 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","887","测试 ptlogin 登录接口","testcases","Sat Feb 07 16:28:09 UTC 2026","failed","Sat Feb 07 16:28:10 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","921","测试 ptlogin 登录接口 - 参数化测试","testcases","Sat Feb 07 16:28:10 UTC 2026","failed","Sat Feb 07 16:28:11 UTC 2026","TestPtlogin","test_ptlogin","",""
"","272","test_get_word_list_flow","testcases","Sat Feb 07 16:28:13 UTC 2026","broken","Sat Feb 07 16:28:13 UTC 2026","TestWriter","test_writer_ai","",""
"","272","获取拼字房间列表-默认筛选","testcases","Sat Feb 07 16:28:13 UTC 2026","broken","Sat Feb 07 16:28:13 UTC 2026","TestWriter","test_writer_ai","",""
"","272","获取拼字房间列表-空数据页","testcases","Sat Feb 07 16:28:13 UTC 2026","broken","Sat Feb 07 16:28:14 UTC 2026","TestWriter","test_writer_ai","",""
