"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试使用自定义参数的登录功能","1258","测试 ptlogin 登录接口 - 自定义参数","testcases","Thu Feb 26 16:56:27 UTC 2026","failed","Thu Feb 26 16:56:28 UTC 2026","TestPtlogin","test_ptlogin","",""
"","256","获取拼字房间列表-默认筛选","testcases","Thu Feb 26 16:56:29 UTC 2026","broken","Thu Feb 26 16:56:30 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","1152","测试 ptlogin 登录接口","testcases","Thu Feb 26 16:56:25 UTC 2026","failed","Thu Feb 26 16:56:26 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","979","测试 ptlogin 登录接口 - 参数化测试","testcases","Thu Feb 26 16:56:26 UTC 2026","failed","Thu Feb 26 16:56:27 UTC 2026","TestPtlogin","test_ptlogin","",""
"","257","test_get_word_list_flow","testcases","Thu Feb 26 16:56:29 UTC 2026","broken","Thu Feb 26 16:56:29 UTC 2026","TestWriter","test_writer_ai","",""
"","249","获取拼字房间列表-空数据页","testcases","Thu Feb 26 16:56:30 UTC 2026","broken","Thu Feb 26 16:56:30 UTC 2026","TestWriter","test_writer_ai","",""
