"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","test_get_word_list_flow","testcases","Sat Jan 31 16:25:52 UTC 2026","broken","Sat Jan 31 16:25:52 UTC 2026","TestWriter","test_writer_ai","",""
"","258","获取拼字房间列表-空数据页","testcases","Sat Jan 31 16:25:53 UTC 2026","broken","Sat Jan 31 16:25:53 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","1993","测试 ptlogin 登录接口 - 参数化测试","testcases","Sat Jan 31 16:25:47 UTC 2026","failed","Sat Jan 31 16:25:49 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试使用自定义参数的登录功能","1781","测试 ptlogin 登录接口 - 自定义参数","testcases","Sat Jan 31 16:25:49 UTC 2026","failed","Sat Jan 31 16:25:51 UTC 2026","TestPtlogin","test_ptlogin","",""
"","915","获取拼字房间列表-默认筛选","testcases","Sat Jan 31 16:25:52 UTC 2026","broken","Sat Jan 31 16:25:53 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","838","测试 ptlogin 登录接口","testcases","Sat Jan 31 16:25:46 UTC 2026","failed","Sat Jan 31 16:25:47 UTC 2026","TestPtlogin","test_ptlogin","",""
