"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试使用自定义参数的登录功能","651","测试 ptlogin 登录接口 - 自定义参数","testcases","Wed May 13 17:59:43 UTC 2026","failed","Wed May 13 17:59:43 UTC 2026","TestPtlogin","test_ptlogin","",""
"","204","获取拼字房间列表-默认筛选","testcases","Wed May 13 17:59:45 UTC 2026","broken","Wed May 13 17:59:45 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","776","测试 ptlogin 登录接口","testcases","Wed May 13 17:59:41 UTC 2026","failed","Wed May 13 17:59:42 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","643","测试 ptlogin 登录接口 - 参数化测试","testcases","Wed May 13 17:59:42 UTC 2026","failed","Wed May 13 17:59:43 UTC 2026","TestPtlogin","test_ptlogin","",""
"","207","获取拼字房间列表-空数据页","testcases","Wed May 13 17:59:45 UTC 2026","broken","Wed May 13 17:59:45 UTC 2026","TestWriter","test_writer_ai","",""
"","203","test_get_word_list_flow","testcases","Wed May 13 17:59:44 UTC 2026","broken","Wed May 13 17:59:45 UTC 2026","TestWriter","test_writer_ai","",""
