"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试使用自定义参数的登录功能","1935","测试 ptlogin 登录接口 - 自定义参数","testcases","Sun Feb 15 16:28:16 UTC 2026","failed","Sun Feb 15 16:28:18 UTC 2026","TestPtlogin","test_ptlogin","",""
"","253","test_get_word_list_flow","testcases","Sun Feb 15 16:28:19 UTC 2026","broken","Sun Feb 15 16:28:20 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","1874","测试 ptlogin 登录接口","testcases","Sun Feb 15 16:28:12 UTC 2026","failed","Sun Feb 15 16:28:14 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","2551","测试 ptlogin 登录接口 - 参数化测试","testcases","Sun Feb 15 16:28:14 UTC 2026","failed","Sun Feb 15 16:28:16 UTC 2026","TestPtlogin","test_ptlogin","",""
"","252","获取拼字房间列表-默认筛选","testcases","Sun Feb 15 16:28:20 UTC 2026","broken","Sun Feb 15 16:28:20 UTC 2026","TestWriter","test_writer_ai","",""
"","253","获取拼字房间列表-空数据页","testcases","Sun Feb 15 16:28:20 UTC 2026","broken","Sun Feb 15 16:28:20 UTC 2026","TestWriter","test_writer_ai","",""
