"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","获取拼字房间列表-空数据页","testcases","Tue Apr 28 17:53:56 UTC 2026","broken","Tue Apr 28 17:53:56 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","135169","测试 ptlogin 登录接口","testcases","Tue Apr 28 17:47:08 UTC 2026","broken","Tue Apr 28 17:49:24 UTC 2026","TestPtlogin","test_ptlogin","",""
"","249","获取拼字房间列表-默认筛选","testcases","Tue Apr 28 17:53:56 UTC 2026","broken","Tue Apr 28 17:53:56 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","135080","测试 ptlogin 登录接口 - 自定义参数","testcases","Tue Apr 28 17:51:39 UTC 2026","broken","Tue Apr 28 17:53:54 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","135050","测试 ptlogin 登录接口 - 参数化测试","testcases","Tue Apr 28 17:49:24 UTC 2026","broken","Tue Apr 28 17:51:39 UTC 2026","TestPtlogin","test_ptlogin","",""
"","249","test_get_word_list_flow","testcases","Tue Apr 28 17:53:55 UTC 2026","broken","Tue Apr 28 17:53:55 UTC 2026","TestWriter","test_writer_ai","",""
