"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","220","test_get_word_list_flow","testcases","Sat May 02 16:43:19 UTC 2026","broken","Sat May 02 16:43:20 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","747","测试 ptlogin 登录接口 - 参数化测试","testcases","Sat May 02 16:43:16 UTC 2026","failed","Sat May 02 16:43:17 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","1499","测试 ptlogin 登录接口","testcases","Sat May 02 16:43:15 UTC 2026","failed","Sat May 02 16:43:16 UTC 2026","TestPtlogin","test_ptlogin","",""
"","220","获取拼字房间列表-空数据页","testcases","Sat May 02 16:43:20 UTC 2026","broken","Sat May 02 16:43:20 UTC 2026","TestWriter","test_writer_ai","",""
"","220","获取拼字房间列表-默认筛选","testcases","Sat May 02 16:43:20 UTC 2026","broken","Sat May 02 16:43:20 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","1781","测试 ptlogin 登录接口 - 自定义参数","testcases","Sat May 02 16:43:17 UTC 2026","failed","Sat May 02 16:43:19 UTC 2026","TestPtlogin","test_ptlogin","",""
