"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","226","获取拼字房间列表-空数据页","testcases","Fri Apr 24 16:54:01 UTC 2026","broken","Fri Apr 24 16:54:01 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","2192","测试 ptlogin 登录接口 - 参数化测试","testcases","Fri Apr 24 16:53:53 UTC 2026","failed","Fri Apr 24 16:53:55 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试使用自定义参数的登录功能","2776","测试 ptlogin 登录接口 - 自定义参数","testcases","Fri Apr 24 16:53:55 UTC 2026","failed","Fri Apr 24 16:53:58 UTC 2026","TestPtlogin","test_ptlogin","",""
"","226","test_get_word_list_flow","testcases","Fri Apr 24 16:54:01 UTC 2026","broken","Fri Apr 24 16:54:01 UTC 2026","TestWriter","test_writer_ai","",""
"","226","获取拼字房间列表-默认筛选","testcases","Fri Apr 24 16:54:01 UTC 2026","broken","Fri Apr 24 16:54:01 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","694","测试 ptlogin 登录接口","testcases","Fri Apr 24 16:53:53 UTC 2026","failed","Fri Apr 24 16:53:53 UTC 2026","TestPtlogin","test_ptlogin","",""
