"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"使用不同的用户名和密码测试登录功能","779","测试 ptlogin 登录接口 - 参数化测试","testcases","Sun Feb 08 16:28:46 UTC 2026","failed","Sun Feb 08 16:28:47 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试使用自定义参数的登录功能","678","测试 ptlogin 登录接口 - 自定义参数","testcases","Sun Feb 08 16:28:47 UTC 2026","failed","Sun Feb 08 16:28:47 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","2409","测试 ptlogin 登录接口","testcases","Sun Feb 08 16:28:43 UTC 2026","failed","Sun Feb 08 16:28:46 UTC 2026","TestPtlogin","test_ptlogin","",""
"","216","获取拼字房间列表-默认筛选","testcases","Sun Feb 08 16:28:49 UTC 2026","broken","Sun Feb 08 16:28:49 UTC 2026","TestWriter","test_writer_ai","",""
"","215","获取拼字房间列表-空数据页","testcases","Sun Feb 08 16:28:49 UTC 2026","broken","Sun Feb 08 16:28:50 UTC 2026","TestWriter","test_writer_ai","",""
"","834","test_get_word_list_flow","testcases","Sun Feb 08 16:28:48 UTC 2026","broken","Sun Feb 08 16:28:49 UTC 2026","TestWriter","test_writer_ai","",""
