"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","172","获取拼字房间列表-空数据页","testcases","Fri May 15 17:25:33 UTC 2026","broken","Fri May 15 17:25:33 UTC 2026","TestWriter","test_writer_ai","",""
"","163","test_get_word_list_flow","testcases","Fri May 15 17:25:33 UTC 2026","broken","Fri May 15 17:25:33 UTC 2026","TestWriter","test_writer_ai","",""
"","170","获取拼字房间列表-默认筛选","testcases","Fri May 15 17:25:33 UTC 2026","broken","Fri May 15 17:25:33 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","820","测试 ptlogin 登录接口 - 参数化测试","testcases","Fri May 15 17:25:31 UTC 2026","failed","Fri May 15 17:25:32 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试使用自定义参数的登录功能","519","测试 ptlogin 登录接口 - 自定义参数","testcases","Fri May 15 17:25:32 UTC 2026","failed","Fri May 15 17:25:32 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","597","测试 ptlogin 登录接口","testcases","Fri May 15 17:25:30 UTC 2026","failed","Fri May 15 17:25:31 UTC 2026","TestPtlogin","test_ptlogin","",""
