"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","test_get_word_list_flow","testcases","2026-06-08","broken","2026-06-08","TestWriter","test_writer_ai","",""
"","247","获取拼字房间列表-默认筛选","testcases","2026-06-08","broken","2026-06-08","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","781","测试 ptlogin 登录接口 - 自定义参数","testcases","2026-06-08","failed","2026-06-08","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","753","测试 ptlogin 登录接口","testcases","2026-06-08","failed","2026-06-08","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","771","测试 ptlogin 登录接口 - 参数化测试","testcases","2026-06-08","failed","2026-06-08","TestPtlogin","test_ptlogin","",""
"","246","获取拼字房间列表-空数据页","testcases","2026-06-08","broken","2026-06-08","TestWriter","test_writer_ai","",""
