"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","创作中心自动化测试","0","0","拼字业务","0"
"1","","0","创作中心自动化测试","0","0","词库业务","0"
