"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"使用不同的用户名和密码测试登录功能","774","测试 ptlogin 登录接口 - 参数化测试","testcases","Wed Apr 08 16:59:28 UTC 2026","failed","Wed Apr 08 16:59:28 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试使用自定义参数的登录功能","717","测试 ptlogin 登录接口 - 自定义参数","testcases","Wed Apr 08 16:59:28 UTC 2026","failed","Wed Apr 08 16:59:29 UTC 2026","TestPtlogin","test_ptlogin","",""
"","811","test_get_word_list_flow","testcases","Wed Apr 08 16:59:31 UTC 2026","broken","Wed Apr 08 16:59:32 UTC 2026","TestWriter","test_writer_ai","",""
"","194","获取拼字房间列表-空数据页","testcases","Wed Apr 08 16:59:32 UTC 2026","broken","Wed Apr 08 16:59:32 UTC 2026","TestWriter","test_writer_ai","",""
"","194","获取拼字房间列表-默认筛选","testcases","Wed Apr 08 16:59:32 UTC 2026","broken","Wed Apr 08 16:59:32 UTC 2026","TestWriter","test_writer_ai","",""
"测试用户通过 ptlogin 接口登录功能","672","测试 ptlogin 登录接口","testcases","Wed Apr 08 16:59:27 UTC 2026","failed","Wed Apr 08 16:59:28 UTC 2026","TestPtlogin","test_ptlogin","",""
