"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","228","获取拼字房间列表-空数据页","testcases","Tue May 12 17:57:47 UTC 2026","broken","Tue May 12 17:57:47 UTC 2026","TestWriter","test_writer_ai","",""
"","231","获取拼字房间列表-默认筛选","testcases","Tue May 12 17:57:46 UTC 2026","broken","Tue May 12 17:57:47 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","761","测试 ptlogin 登录接口 - 自定义参数","testcases","Tue May 12 17:57:45 UTC 2026","failed","Tue May 12 17:57:45 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","763","测试 ptlogin 登录接口","testcases","Tue May 12 17:57:43 UTC 2026","failed","Tue May 12 17:57:44 UTC 2026","TestPtlogin","test_ptlogin","",""
"","232","test_get_word_list_flow","testcases","Tue May 12 17:57:46 UTC 2026","broken","Tue May 12 17:57:46 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","740","测试 ptlogin 登录接口 - 参数化测试","testcases","Tue May 12 17:57:44 UTC 2026","failed","Tue May 12 17:57:45 UTC 2026","TestPtlogin","test_ptlogin","",""
