"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试用户通过 ptlogin 接口登录功能","855","测试 ptlogin 登录接口","testcases","Tue Mar 24 16:58:29 UTC 2026","failed","Tue Mar 24 16:58:30 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试使用自定义参数的登录功能","21309","测试 ptlogin 登录接口 - 自定义参数","testcases","Tue Mar 24 16:58:31 UTC 2026","failed","Tue Mar 24 16:58:53 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","1587","测试 ptlogin 登录接口 - 参数化测试","testcases","Tue Mar 24 16:58:30 UTC 2026","failed","Tue Mar 24 16:58:31 UTC 2026","TestPtlogin","test_ptlogin","",""
"","247","获取拼字房间列表-空数据页","testcases","Tue Mar 24 16:58:54 UTC 2026","broken","Tue Mar 24 16:58:55 UTC 2026","TestWriter","test_writer_ai","",""
"","256","test_get_word_list_flow","testcases","Tue Mar 24 16:58:54 UTC 2026","broken","Tue Mar 24 16:58:54 UTC 2026","TestWriter","test_writer_ai","",""
"","248","获取拼字房间列表-默认筛选","testcases","Tue Mar 24 16:58:54 UTC 2026","broken","Tue Mar 24 16:58:54 UTC 2026","TestWriter","test_writer_ai","",""
