"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","test_get_word_list_flow","testcases","Sun May 03 16:47:14 UTC 2026","broken","Sun May 03 16:47:15 UTC 2026","TestWriter","test_writer_ai","",""
"","251","获取拼字房间列表-默认筛选","testcases","Sun May 03 16:47:15 UTC 2026","broken","Sun May 03 16:47:15 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","760","测试 ptlogin 登录接口 - 自定义参数","testcases","Sun May 03 16:47:13 UTC 2026","failed","Sun May 03 16:47:13 UTC 2026","TestPtlogin","test_ptlogin","",""
"","248","获取拼字房间列表-空数据页","testcases","Sun May 03 16:47:15 UTC 2026","broken","Sun May 03 16:47:15 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","831","测试 ptlogin 登录接口 - 参数化测试","testcases","Sun May 03 16:47:12 UTC 2026","failed","Sun May 03 16:47:13 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","766","测试 ptlogin 登录接口","testcases","Sun May 03 16:47:11 UTC 2026","failed","Sun May 03 16:47:12 UTC 2026","TestPtlogin","test_ptlogin","",""
