"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试使用自定义参数的登录功能","1025","测试 ptlogin 登录接口 - 自定义参数","testcases","Wed Feb 18 17:01:25 UTC 2026","failed","Wed Feb 18 17:01:26 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","1622","测试 ptlogin 登录接口","testcases","Wed Feb 18 17:01:22 UTC 2026","failed","Wed Feb 18 17:01:24 UTC 2026","TestPtlogin","test_ptlogin","",""
"","281","获取拼字房间列表-空数据页","testcases","Wed Feb 18 17:01:28 UTC 2026","broken","Wed Feb 18 17:01:29 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","908","测试 ptlogin 登录接口 - 参数化测试","testcases","Wed Feb 18 17:01:24 UTC 2026","failed","Wed Feb 18 17:01:25 UTC 2026","TestPtlogin","test_ptlogin","",""
"","274","获取拼字房间列表-默认筛选","testcases","Wed Feb 18 17:01:28 UTC 2026","broken","Wed Feb 18 17:01:28 UTC 2026","TestWriter","test_writer_ai","",""
"","281","test_get_word_list_flow","testcases","Wed Feb 18 17:01:28 UTC 2026","broken","Wed Feb 18 17:01:28 UTC 2026","TestWriter","test_writer_ai","",""
