"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","220","获取拼字房间列表-空数据页","testcases","Sat Feb 21 16:27:22 UTC 2026","broken","Sat Feb 21 16:27:22 UTC 2026","TestWriter","test_writer_ai","",""
"","220","获取拼字房间列表-默认筛选","testcases","Sat Feb 21 16:27:22 UTC 2026","broken","Sat Feb 21 16:27:22 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","686","测试 ptlogin 登录接口 - 自定义参数","testcases","Sat Feb 21 16:27:19 UTC 2026","failed","Sat Feb 21 16:27:20 UTC 2026","TestPtlogin","test_ptlogin","",""
"","836","test_get_word_list_flow","testcases","Sat Feb 21 16:27:21 UTC 2026","broken","Sat Feb 21 16:27:22 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","37385","测试 ptlogin 登录接口 - 参数化测试","testcases","Sat Feb 21 16:26:42 UTC 2026","failed","Sat Feb 21 16:27:19 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","750","测试 ptlogin 登录接口","testcases","Sat Feb 21 16:26:41 UTC 2026","failed","Sat Feb 21 16:26:42 UTC 2026","TestPtlogin","test_ptlogin","",""
