"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试用户通过 ptlogin 接口登录功能","604","测试 ptlogin 登录接口","testcases","2026-07-21","failed","2026-07-21","TestPtlogin","test_ptlogin","",""
"测试使用自定义参数的登录功能","605","测试 ptlogin 登录接口 - 自定义参数","testcases","2026-07-21","failed","2026-07-21","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","615","测试 ptlogin 登录接口 - 参数化测试","testcases","2026-07-21","failed","2026-07-21","TestPtlogin","test_ptlogin","",""
"","191","获取拼字房间列表-默认筛选","testcases","2026-07-21","broken","2026-07-21","TestWriter","test_writer_ai","",""
"","192","获取拼字房间列表-空数据页","testcases","2026-07-21","broken","2026-07-21","TestWriter","test_writer_ai","",""
"","191","test_get_word_list_flow","testcases","2026-07-21","broken","2026-07-21","TestWriter","test_writer_ai","",""
