"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试使用自定义参数的登录功能","956","测试 ptlogin 登录接口 - 自定义参数","testcases","Sat Apr 11 16:34:55 UTC 2026","failed","Sat Apr 11 16:34:56 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","744","测试 ptlogin 登录接口","testcases","Sat Apr 11 16:34:52 UTC 2026","failed","Sat Apr 11 16:34:53 UTC 2026","TestPtlogin","test_ptlogin","",""
"","253","获取拼字房间列表-默认筛选","testcases","Sat Apr 11 16:34:57 UTC 2026","broken","Sat Apr 11 16:34:58 UTC 2026","TestWriter","test_writer_ai","",""
"","252","获取拼字房间列表-空数据页","testcases","Sat Apr 11 16:34:58 UTC 2026","broken","Sat Apr 11 16:34:58 UTC 2026","TestWriter","test_writer_ai","",""
"","252","test_get_word_list_flow","testcases","Sat Apr 11 16:34:57 UTC 2026","broken","Sat Apr 11 16:34:57 UTC 2026","TestWriter","test_writer_ai","",""
"使用不同的用户名和密码测试登录功能","1810","测试 ptlogin 登录接口 - 参数化测试","testcases","Sat Apr 11 16:34:53 UTC 2026","failed","Sat Apr 11 16:34:55 UTC 2026","TestPtlogin","test_ptlogin","",""
