"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试使用自定义参数的登录功能","876","测试 ptlogin 登录接口 - 自定义参数","testcases","Sun Mar 01 16:25:46 UTC 2026","failed","Sun Mar 01 16:25:47 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","1387","测试 ptlogin 登录接口 - 参数化测试","testcases","Sun Mar 01 16:25:44 UTC 2026","failed","Sun Mar 01 16:25:46 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","745","测试 ptlogin 登录接口","testcases","Sun Mar 01 16:25:44 UTC 2026","failed","Sun Mar 01 16:25:44 UTC 2026","TestPtlogin","test_ptlogin","",""
"","231","获取拼字房间列表-空数据页","testcases","Sun Mar 01 16:25:48 UTC 2026","broken","Sun Mar 01 16:25:48 UTC 2026","TestWriter","test_writer_ai","",""
"","230","test_get_word_list_flow","testcases","Sun Mar 01 16:25:48 UTC 2026","broken","Sun Mar 01 16:25:48 UTC 2026","TestWriter","test_writer_ai","",""
"","231","获取拼字房间列表-默认筛选","testcases","Sun Mar 01 16:25:48 UTC 2026","broken","Sun Mar 01 16:25:48 UTC 2026","TestWriter","test_writer_ai","",""
