"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","166","获取拼字房间列表-默认筛选","testcases","Tue Apr 07 16:56:45 UTC 2026","broken","Tue Apr 07 16:56:45 UTC 2026","TestWriter","test_writer_ai","",""
"","165","获取拼字房间列表-空数据页","testcases","Tue Apr 07 16:56:45 UTC 2026","broken","Tue Apr 07 16:56:45 UTC 2026","TestWriter","test_writer_ai","",""
"","165","test_get_word_list_flow","testcases","Tue Apr 07 16:56:45 UTC 2026","broken","Tue Apr 07 16:56:45 UTC 2026","TestWriter","test_writer_ai","",""
"测试使用自定义参数的登录功能","695","测试 ptlogin 登录接口 - 自定义参数","testcases","Tue Apr 07 16:56:42 UTC 2026","failed","Tue Apr 07 16:56:43 UTC 2026","TestPtlogin","test_ptlogin","",""
"使用不同的用户名和密码测试登录功能","614","测试 ptlogin 登录接口 - 参数化测试","testcases","Tue Apr 07 16:56:42 UTC 2026","failed","Tue Apr 07 16:56:42 UTC 2026","TestPtlogin","test_ptlogin","",""
"测试用户通过 ptlogin 接口登录功能","766","测试 ptlogin 登录接口","testcases","Tue Apr 07 16:56:41 UTC 2026","failed","Tue Apr 07 16:56:42 UTC 2026","TestPtlogin","test_ptlogin","",""
